COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0410;Oraison (0410);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0411;Reillanne (0411);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0412;Riez (0412);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0413;Seyne (0413);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0414;Sisteron (0414);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0415;Valensole (0415);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0498;Digne-les-Bains (0498);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0499;Manosque (0499);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0501;L'Argentière-la-Bessée (0501);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0502;Briançon-1 (0502);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0503;Briançon-2 (0503);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0504;Chorges (0504);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0505;Embrun (0505);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0510;Guillestre (0510);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0511;Laragne-Montéglin (0511);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0512;Saint-Bonnet-en-Champsaur (0512);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0513;Serres (0513);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0514;Tallard (0514);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0515;Veynes (0515);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0598;Briançon (0598);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0599;Gap (0599);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0601;Antibes-1 (0601);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0603;Antibes-3 (0603);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0604;Beausoleil (0604);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0606;Cagnes-sur-Mer-2 (0606);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0609;Le Cannet (0609);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0610;Contes (0610);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0611;Grasse-1 (0611);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0612;Grasse-2 (0612);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0613;Mandelieu-la-Napoule (0613);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0614;Menton (0614);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0617;Nice-3 (0617);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0621;Nice-7 (0621);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0624;Tourrette-Levens (0624);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0625;Valbonne (0625);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0626;Vence (0626);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0627;Villeneuve-Loubet (0627);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0694;Antibes (0694);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0695;Cagnes-sur-Mer (0695);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0696;Cannes (0696);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0697;Le Cannet (0697);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0698;Grasse (0698);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0699;Nice (0699);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0701;Annonay-1 (0701);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0702;Annonay-2 (0702);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0703;Aubenas-1 (0703);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0704;Aubenas-2 (0704);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0705;Bourg-Saint-Andéol (0705);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0706;Haut-Eyrieux (0706);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0707;Guilherand-Granges (0707);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0708;Haut-Vivarais (0708);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0709;Le Pouzin (0709);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0710;Privas (0710);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0711;Sarras (0711);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0712;Berg-Helvie (0712);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0713;Haute-Ardèche (0713);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0714;Tournon-sur-Rhône (0714);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0715;Vallon-Pont-d'Arc (0715);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0716;Les Cévennes Ardéchoises (0716);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0717;Rhône-Eyrieux (0717);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0798;Annonay (0798);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0799;Aubenas (0799);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0801;Attigny (0801);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0802;Bogny-sur-Meuse (0802);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0803;Carignan (0803);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0804;Charleville-Mézières-1 (0804);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0805;Charleville-Mézières-2 (0805);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0806;Charleville-Mézières-3 (0806);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0807;Charleville-Mézières-4 (0807);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0808;Château-Porcien (0808);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0809;Givet (0809);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0810;Nouvion-sur-Meuse (0810);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0811;Rethel (0811);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0812;Revin (0812);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0813;Rocroi (0813);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0814;Sedan-1 (0814);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0815;Sedan-2 (0815);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0816;Sedan-3 (0816);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0817;Signy-l'Abbaye (0817);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0818;Villers-Semeuse (0818);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0819;Vouziers (0819);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0898;Charleville-Mézières (0898);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0899;Sedan (0899);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0901;Haute-Ariège (0901);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0902;Arize-Lèze (0902);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0903;Couserans Est (0903);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0904;Couserans Ouest (0904);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0905;Foix (0905);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0906;Mirepoix (0906);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0907;Pamiers-1 (0907);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0908;Pamiers-2 (0908);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0909;Pays d'Olmes (0909);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0910;Portes d'Ariège (0910);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0911;Portes du Couserans (0911);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0912;Sabarthès (0912);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0913;Val d'Ariège (0913);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);0999;Pamiers (0999);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1001;Aix-en-Othe (1001);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1002;Arcis-sur-Aube (1002);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1003;Bar-sur-Aube (1003);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1004;Bar-sur-Seine (1004);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1005;Brienne-le-Château (1005);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1006;Creney-près-Troyes (1006);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1007;Nogent-sur-Seine (1007);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1008;Les Riceys (1008);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1009;Romilly-sur-Seine (1009);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1010;Saint-André-les-Vergers (1010);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1011;Saint-Lyé (1011);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1013;Troyes-2 (1013);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1014;Troyes-3 (1014);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1015;Troyes-4 (1015);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1017;Vendeuvre-sur-Barse (1017);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1099;Troyes (1099);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1101;La Piège au Razès (1101);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1103;Carcassonne-2 (1103);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1104;Carcassonne-3 (1104);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1105;Le Bassin chaurien (1105);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1106;Les Basses Plaines de l'Aude (1106);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1107;Les Corbières (1107);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1108;Le Lézignanais (1108);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1109;La Région Limouxine (1109);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1110;La Malepère à la Montagne Noire (1110);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1111;Narbonne-1 (1111);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1112;Narbonne-2 (1112);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1114;La Haute-Vallée de l'Aude (1114);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1115;Le Haut-Minervois (1115);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1116;Le Sud-Minervois (1116);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1117;Les Corbières Méditerranée (1117);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1118;La Montagne d'Alaric (1118);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1119;La Vallée de l'Orbiel (1119);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1198;Carcassonne (1198);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1199;Narbonne (1199);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1201;Aubrac et Carladez (1201);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1202;Aveyron et Tarn (1202);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1203;Causse-Comtal (1203);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1204;Causses-Rougiers (1204);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1205;Ceor-Ségala (1205);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1206;Enne et Alzou (1206);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1207;Lot et Dourdou (1207);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1208;Lot et Montbazinois (1208);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1209;Lot et Palanges (1209);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1210;Lot et Truyère (1210);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1211;Millau-1 (1211);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1212;Millau-2 (1212);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1213;Monts du Réquistanais (1213);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1214;Nord-Lévezou (1214);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1215;Raspes et Lévezou (1215);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1217;Rodez-2 (1217);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1218;Rodez-Onet (1218);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1219;Saint-Affrique (1219);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1220;Tarn et Causses (1220);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1221;Vallon (1221);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1222;Villefranche-de-Rouergue (1222);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1223;Villeneuvois et Villefranchois (1223);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1298;Millau (1298);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1299;Rodez (1299);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1303;Allauch (1303);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1304;Arles (1304);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1305;Aubagne (1305);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1306;Berre-l'Étang (1306);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1307;Châteaurenard (1307);CHAR;5
CANTVILLE;Département, canton-ou-ville du lieu de résidence (pseudo-canton);1308;La Ciotat (1308);CHAR;5
